CpG	1	2	3
7796806090_R04C01	2.6210927963256836	1.7950711250305176	0.0
6285633051_R04C01	2.4114112854003906	0.4239431619644165	0.6450518369674683
9993943017_R04C02	3.1118898391723633	0.0	1.5767402648925781
7796806090_R03C01	0.0	3.0414557456970215	0.0
3999997079_R01C02	0.0	0.0	3.786080837249756
7796806055_R02C01	3.081883430480957	2.385692834854126	0.0
7796806109_R05C01	3.2617883682250977	1.3420727252960205	0.18028485774993896
7796806090_R05C01	2.854973793029785	0.0	1.6532397270202637
9283265058_R05C02	0.0	0.0	0.8422378301620483
9422491072_R06C02	0.0	2.6241400241851807	0.0
6005486021_R06C01	0.0	3.252577304840088	0.0
9422491072_R06C01	3.509242057800293	0.0	1.388768196105957
9283265077_R01C02	0.0	3.1186981201171875	0.0
6057833101_R04C01	3.4620304107666016	0.5562019348144531	0.35180532932281494
9305216146_R06C01	2.534600257873535	2.551062822341919	0.0
9305216132_R02C02	3.617159843444824	0.4370661973953247	0.06710243225097656
9993943017_R01C01	4.173813819885254	0.0	0.0
9305216132_R04C02	0.0	0.0	2.2560911178588867
9422492113_R03C01	2.934234619140625	0.0	0.0
8784241071_R01C01	1.338343620300293	2.333906412124634	0.0
9422491072_R02C02	0.0	2.8595447540283203	0.0
6004791020_R01C01	1.9580936431884766	0.0	3.090242385864258
9283265014_R01C01	3.221611976623535	0.0	0.3058161735534668
9630789227_R01C02	0.4535636901855469	0.0	0.3481025695800781
9993943017_R04C01	2.61871337890625	1.6984758377075195	0.0
8784241071_R02C01	2.549130439758301	1.7040398120880127	0.0
9426020160_R04C01	3.114834785461426	1.048607587814331	0.0
8784241071_R02C02	2.569756507873535	1.64451003074646	0.0
8784241036_R04C02	3.0798473358154297	1.2924010753631592	0.0
9283265014_R04C02	2.551015853881836	0.0	0.32221782207489014
9993943013_R02C02	3.487051010131836	0.0	0.8114759922027588
9630789239_R02C01	0.0	0.0	2.2392489910125732
9993943013_R03C02	2.944331169128418	0.9366049766540527	2.1733992099761963
8784241046_R05C01	2.3782873153686523	0.4259176254272461	2.142695188522339
8784241071_R03C01	2.7744674682617188	0.24836230278015137	0.018787622451782227
9283265077_R05C01	2.545342445373535	0.0	1.8829586505889893
9283265058_R06C02	0.0	0.0	2.6451804637908936
9305216146_R05C02	0.19049549102783203	1.9379329681396484	0.0
9283265077_R02C01	1.3053703308105469	2.47383975982666	0.0
9305216132_R03C02	0.0	3.2537951469421387	0.0
6042324072_R02C01	2.208197593688965	2.8400826454162598	0.0
9283265077_R04C02	0.0	1.823861837387085	0.0
