"","One_minus_specificity","sensitivity","Threshold"
"1",0,0,1
"2",0.0571428571428572,0.448979591836735,0.98
"3",0.0571428571428572,0.510204081632653,0.96
"4",0.0714285714285714,0.622448979591837,0.94
"5",0.0714285714285714,0.658163265306122,0.92
"6",0.0714285714285714,0.683673469387755,0.9
"7",0.0714285714285714,0.704081632653061,0.88
"8",0.1,0.719387755102041,0.86
"9",0.114285714285714,0.73469387755102,0.84
"10",0.114285714285714,0.755102040816326,0.82
"11",0.114285714285714,0.775510204081633,0.8
"12",0.114285714285714,0.785714285714286,0.78
"13",0.114285714285714,0.795918367346939,0.76
"14",0.114285714285714,0.795918367346939,0.74
"15",0.128571428571429,0.801020408163265,0.72
"16",0.142857142857143,0.831632653061224,0.7
"17",0.142857142857143,0.846938775510204,0.68
"18",0.142857142857143,0.846938775510204,0.66
"19",0.157142857142857,0.862244897959184,0.64
"20",0.157142857142857,0.872448979591837,0.62
"21",0.2,0.918367346938776,0.6
"22",0.2,0.923469387755102,0.58
"23",0.2,0.933673469387755,0.56
"24",0.2,0.938775510204082,0.54
"25",0.214285714285714,0.948979591836735,0.52
"26",0.228571428571429,0.954081632653061,0.5
"27",0.228571428571429,0.959183673469388,0.48
"28",0.228571428571429,0.964285714285714,0.46
"29",0.271428571428571,0.964285714285714,0.44
"30",0.3,0.964285714285714,0.42
"31",0.314285714285714,0.969387755102041,0.4
"32",0.314285714285714,0.974489795918367,0.38
"33",0.342857142857143,0.974489795918367,0.36
"34",0.385714285714286,0.974489795918367,0.34
"35",0.442857142857143,0.979591836734694,0.32
"36",0.5,0.98469387755102,0.3
"37",0.557142857142857,0.994897959183674,0.28
"38",0.614285714285714,0.994897959183674,0.26
"39",0.671428571428571,0.994897959183674,0.24
"40",0.7,0.994897959183674,0.22
"41",0.742857142857143,0.994897959183674,0.2
"42",0.771428571428571,0.994897959183674,0.18
"43",0.842857142857143,0.994897959183674,0.16
"44",0.871428571428571,1,0.14
"45",0.914285714285714,1,0.12
"46",0.942857142857143,1,0.1
"47",0.957142857142857,1,0.08
"48",0.957142857142857,1,0.0599999999999999
"49",0.985714285714286,1,0.04
"50",1,1,0.02
"51",1,1,0
"52",1,1,-0.02
