,vaeMedians,vaeERpos,vaeERneg
67,0,0.097436428,0
27,0,0.283794403,0
82,0,0.293750763,0
7,0,0.343508482,0
73,0,0.355153501,0
35,0,0.365426093,0
78,0,0.373139143,0
58,0,0.704183519,0
8,0,0.711219072,0
60,0.043572187,0.714880705,0
15,0.062434614,0.836641908,0
24,0,0.848104596,0
43,0,0.98438701,0
51,0.008902669,1.039743185,0
50,0.066044688,1.205586016,0
100,0.102466583,1.323028088,0
52,0,1.438189507,0
