Dimension,Est,Conf95low,Conf95high,Pvalue,Mark,Sig
VAE93,0.134307056,0.026914817,0.412514906,9.68E-06,Br_myo_H3K4me3,TRUE
VAE22,2.371697294,1.827146114,3.076142697,5.33E-11,Br_myo_H3K4me3,TRUE
VAE63,0.01908477,0.000484664,0.108188512,2.98E-18,Br_myo_H3K4me3,TRUE
VAE24,0.328084913,0.128477637,0.702254913,0.001313547,Br_myo_H3K9ac,TRUE
VAE35,1.344678234,0.784452857,2.214822162,0.22363896,Br_myo_H3K9ac,FALSE
VAE43,0.982984809,0.604271358,1.539233589,1,Br_myo_H3K9ac,FALSE
VAE91,0.606181325,0.3598364,0.970275977,0.03540813,Br_myo_H3K9ac,TRUE
VAE93,0.589343327,0.226162134,1.299396097,0.242004692,Br_myo_H3K9ac,FALSE
VAE22,1.839522077,1.372487012,2.442978339,3.77E-05,Br_myo_H3K9ac,TRUE
VAE63,0.101784147,0.020705127,0.30398361,1.09E-08,Br_myo_H3K9ac,TRUE
VAE24,0,0,0.615266429,0.004475316,Br_myo_H3K9me3,TRUE
VAE35,0,0,0.69713446,0.010107281,Br_myo_H3K9me3,TRUE
VAE43,0.387144838,0.078801144,1.15696989,0.127069186,Br_myo_H3K9me3,FALSE
VAE91,0.100767465,0.002540369,0.569494449,0.001180278,Br_myo_H3K9me3,TRUE
VAE93,0.283906533,0.007073321,1.644078603,0.262379452,Br_myo_H3K9me3,FALSE
VAE22,0.357865088,0.115096635,0.847425072,0.015700056,Br_myo_H3K9me3,TRUE
VAE63,5.844873218,3.858661283,8.667222505,2.10E-14,Br_myo_H3K9me3,TRUE
VAE24,0.18497295,0.066249764,0.417336665,5.54E-07,Br_myo_H3K27me3,TRUE
VAE35,0,0,0.123618803,5.06E-12,Br_myo_H3K27me3,TRUE
VAE43,0.068665128,0.013980807,0.205097604,3.74E-13,Br_myo_H3K27me3,TRUE
VAE91,0.091553358,0.029323742,0.218041833,7.79E-15,Br_myo_H3K27me3,TRUE
VAE93,1.264700233,0.686422148,2.239924946,0.378114066,Br_myo_H3K27me3,FALSE
VAE22,0.063471984,0.020416941,0.150230431,4.22E-23,Br_myo_H3K27me3,TRUE
VAE63,1.382047779,0.939905943,2.00346987,0.092026555,Br_myo_H3K27me3,FALSE
VAE24,0.798600541,0.253626226,1.928236379,0.834947112,Br_myo_H3K36me3,FALSE
VAE35,2.371935293,1.175825728,4.379135928,0.011945406,Br_myo_H3K36me3,TRUE
VAE43,6.896375833,4.653767776,10.06570696,1.68E-18,Br_myo_H3K36me3,TRUE
VAE91,2.854960388,1.80244517,4.360745897,9.87E-06,Br_myo_H3K36me3,TRUE
VAE93,2.386885007,0.979541275,5.055147769,0.027665675,Br_myo_H3K36me3,TRUE
VAE22,1.264984974,0.735694995,2.04732019,0.339807899,Br_myo_H3K36me3,FALSE
VAE63,0,0,0.431721373,0.000406317,Br_myo_H3K36me3,TRUE
VAE24,0.235129388,0.098673543,0.482271802,2.98E-06,HMEC_H3K4me1,TRUE
VAE35,2.701508477,1.754128142,4.156238459,3.83E-06,HMEC_H3K4me1,TRUE
VAE43,0.519749529,0.309787578,0.833069464,0.004304253,HMEC_H3K4me1,TRUE
VAE91,0.355018512,0.207908283,0.574070939,1.87E-06,HMEC_H3K4me1,TRUE
VAE93,0.145945362,0.029271062,0.448256245,2.80E-05,HMEC_H3K4me1,TRUE
VAE22,2.752755392,2.121766505,3.570565957,1.27E-14,HMEC_H3K4me1,TRUE
VAE63,0,0,0.077022326,2.02E-18,HMEC_H3K4me1,TRUE
VAE24,0.577228908,0.268017447,1.109516392,0.104121222,HMEC_H2A.Z,FALSE
VAE35,1.319810281,0.741606615,2.232874816,0.312230388,HMEC_H2A.Z,FALSE
VAE43,0.999509606,0.595630618,1.602196004,1,HMEC_H2A.Z,FALSE
VAE91,0.723457601,0.429428268,1.158040353,0.203127729,HMEC_H2A.Z,FALSE
VAE93,0.090432768,0.002256217,0.523536788,0.000627051,HMEC_H2A.Z,TRUE
VAE22,10.84968285,8.254150631,14.36337022,2.34E-71,HMEC_H2A.Z,TRUE
VAE63,0.205528523,0.065635567,0.491994402,1.53E-05,HMEC_H2A.Z,TRUE
VAE24,0.303827163,0.146576471,0.569297491,2.49E-05,HMEC_H3K4me2,TRUE
VAE35,2.683024208,1.744005178,4.132251878,3.60E-06,HMEC_H3K4me2,TRUE
VAE43,0.969863961,0.645612145,1.429554516,0.923828277,HMEC_H3K4me2,FALSE
VAE91,0.665978771,0.445362916,0.97231992,0.032348548,HMEC_H3K4me2,TRUE
VAE93,0.13287295,0.026626896,0.408118299,9.75E-06,HMEC_H3K4me2,TRUE
VAE22,3.265185869,2.514805188,4.247808155,9.25E-20,HMEC_H3K4me2,TRUE
VAE63,0,0,0.070105462,3.84E-20,HMEC_H3K4me2,TRUE
