"","Node","Est","Conf95low","Conf95high","Pvalue","Mark"
"2","VAE24",1.80755038772929,1.68217958828918,1.94172725455107,3.25033341675863e-58,"Enhancer"
"3","VAE35",2.91301962990593,1.88994737548946,4.52541567033851,4.32132094473629e-07,"Enhancer"
"4","VAE43",1.37621355669408,1.25691243510296,1.50613844259402,5.03562643677387e-12,"Enhancer"
"5","VAE91",1.9577044118928,1.58888783789025,2.41097309799721,1.67300761356303e-10,"Enhancer"
"6","VAE93",0.580552225394358,0.288513711509309,1.08885038929169,0.0978929409343511,"Enhancer"
"7","VAE22",2.1532483699651,1.77903102832923,2.60602302529635,1.80614505509418e-15,"Enhancer"
"8","VAE63",0.34355211947506,0.303488298695686,0.387922293425896,1.54895352422476e-84,"Enhancer"
"21","VAE24",2.31284154449279,2.14789030132028,2.49124051434969,4.70522632167261e-116,"OpenSea"
"31","VAE35",2.84700309190341,1.80622738903617,4.58560055527099,1.37774769362215e-06,"OpenSea"
"41","VAE43",1.31306263703241,1.20227623662076,1.43413478975795,9.98450527579089e-10,"OpenSea"
"51","VAE91",2.15039033892729,1.73724295793837,2.66947820082674,3.13014956762454e-13,"OpenSea"
"61","VAE93",1.76414010835758,1.03183934200265,3.0525648166932,0.0282090037353582,"OpenSea"
"71","VAE22",2.02198027829254,1.66486945541825,2.4607627128814,2.64633122408128e-13,"OpenSea"
"81","VAE63",1.9650237696312,1.80261856144037,2.1429872339144,2.12583965033293e-55,"OpenSea"
"22","VAE24",0.120991071695195,0.0986482203264217,0.146972376539171,1.02839213035698e-199,"Island"
"32","VAE35",0.244315806039901,0.0872324953298559,0.553976892784825,7.76139998893171e-05,"Island"
"42","VAE43",0.43918971818587,0.380917636691246,0.504404741894056,3.54133472090036e-38,"Island"
"52","VAE91",0.0473231072345455,0.0152602309718126,0.111475961811229,2.64290531712962e-33,"Island"
"62","VAE93",0.382015432160972,0.134362605079998,0.886045301283453,0.0197528064723202,"Island"
"72","VAE22",0.384237588239324,0.274698642224356,0.525642040757614,1.34981593857428e-11,"Island"
"82","VAE63",0.511310516824609,0.44954613008198,0.579820122399597,7.97791206760271e-30,"Island"
"23","VAE24",0.719810566302353,0.641418044011909,0.805809749784232,2.92094107740445e-09,"N_Shore"
"33","VAE35",0.263993458893615,0.0703900492897542,0.700396886350554,0.0028114907692433,"N_Shore"
"43","VAE43",1.16964790989798,1.03769428721138,1.31545396544718,0.00920943219476037,"N_Shore"
"53","VAE91",0.616762969326375,0.424542156251451,0.871547440987391,0.00426830778191003,"N_Shore"
"63","VAE93",0.75286742251078,0.288946945659531,1.66010087066055,0.588816132742289,"N_Shore"
"73","VAE22",0.870439294923657,0.648370773414129,1.15014076686428,0.34773890580606,"N_Shore"
"83","VAE63",0.5733697516593,0.493008015713126,0.663810031297541,1.22688754311708e-15,"N_Shore"
"24","VAE24",0.820720757957196,0.723504151958249,0.928117861058665,0.00140336492096118,"S_Shore"
"34","VAE35",0.999130048640282,0.461759081494796,1.93288498314512,1,"S_Shore"
"44","VAE43",1.19118935142347,1.04077942656425,1.35887943722826,0.010203231175782,"S_Shore"
"54","VAE91",0.661098396147774,0.432663725670278,0.973092291376526,0.0371110155530675,"S_Shore"
"64","VAE93",0.731514183534069,0.228606500716516,1.81134997525963,0.680014348364389,"S_Shore"
"74","VAE22",0.787020576635569,0.551093482229595,1.09539016713789,0.169160723973617,"S_Shore"
"84","VAE63",0.605716574025592,0.510258323132229,0.714645853664059,2.04398668712635e-10,"S_Shore"
"25","VAE24",1.29512078856394,1.11061883536763,1.50317358525521,0.00098752046370766,"N_Shelf"
"35","VAE35",1.39560567463794,0.498120686852284,3.16613885566755,0.454615588332181,"N_Shelf"
"45","VAE43",1.03997557676704,0.841951074610732,1.27231622062604,0.676374301894747,"N_Shelf"
"55","VAE91",2.05921389012597,1.40887923510787,2.92497105450259,0.000213503714188727,"N_Shelf"
"65","VAE93",1.40376632711351,0.369715733871863,3.79764547741582,0.537270881664693,"N_Shelf"
"75","VAE22",0.794549148460285,0.458120200510624,1.28873702401353,0.433432378701373,"N_Shelf"
"85","VAE63",1.24430836226449,1.0324459207329,1.48888293090189,0.018517921501502,"N_Shelf"
"26","VAE24",1.62451634052717,1.40081139926955,1.8758742977049,4.34058912636523e-10,"S_Shelf"
"36","VAE35",0.772892718453904,0.156335135771537,2.33454326034039,1,"S_Shelf"
"46","VAE43",1.05757952069029,0.845557631907451,1.30848681159161,0.578850188722347,"S_Shelf"
"56","VAE91",2.58524604922243,1.79524525483849,3.62821508142859,7.83168605162418e-07,"S_Shelf"
"66","VAE93",1.60903787218819,0.423747369343499,4.35324429342254,0.324863981665599,"S_Shelf"
"76","VAE22",0.910738264353525,0.52509328691251,1.47739437971904,0.812283945105944,"S_Shelf"
"86","VAE63",1.34556847589315,1.11056222086563,1.61791149783118,0.00235553784164145,"S_Shelf"
"27","VAE24",0.771373316465576,0.692409914862329,0.857594304696746,7.88988668229886e-07,"DHS"
"37","VAE35",1.19201352505179,0.659701610835012,2.03851963277128,0.478469957684739,"DHS"
"47","VAE43",1.24074219060582,1.10747116315766,1.3873851877658,0.000191601012264215,"DHS"
"57","VAE91",0.610423949569209,0.426268264725746,0.852444655254969,0.0023437621044958,"DHS"
"67","VAE93",0.369053704693676,0.0972054837914871,0.997976883347783,0.0520985442213266,"DHS"
